Query,Category
Can passenger's seat heating be set to low gear,Traditional Vehicle
Can passenger's seat heating auto enable,Traditional Vehicle
Can passenger's seat heating auto close,Traditional Vehicle
Can passenger's seat heating adjust gears,Traditional Vehicle
Can rear seat heating adjust gears,Traditional Vehicle
Can rear seat heating be set to medium gear,Traditional Vehicle
Can rear seat heating be set to high gear,Traditional Vehicle
Can rear seat heating be set to low gear,Traditional Vehicle
Can rear right seat heating auto enable,Traditional Vehicle
Can rear left seat heating auto close,Traditional Vehicle
Can driver's seat ventilation be enabled,Traditional Vehicle
Can passenger's seat ventilation be enabled,Traditional Vehicle
Can driver's seat ventilation be closed,Traditional Vehicle
Can passenger's seat ventilation be closed,Traditional Vehicle
Can driver's seat ventilation be set to high gear,Traditional Vehicle
Can passenger's seat ventilation be set to medium gear,Traditional Vehicle
Can rear seat ventilation be enabled,Traditional Vehicle
Can rear seat ventilation be closed,Traditional Vehicle
Can rear seat ventilation be set to low gear,Traditional Vehicle
Can rear seat ventilation be set to high gear,Traditional Vehicle
Can AC fragrance auto enable,Traditional Vehicle
Can AC fragrance auto close,Traditional Vehicle
Can AC fragrance be increased by one gear,Traditional Vehicle
Can AC fragrance be decreased by one gear,Traditional Vehicle
Can AC fragrance close all channels,Traditional Vehicle
Can PM2.5 filter be enabled,Traditional Vehicle
Can PM2.5 filter be closed,Traditional Vehicle
Can driver's AC temperature be increased a bit,Traditional Vehicle
Can driver's AC temperature be set to highest,Traditional Vehicle
Can driver's AC temperature be set to lowest,Traditional Vehicle
Can passenger's AC temperature be increased a bit,Traditional Vehicle
Can passenger's AC temperature be decreased a bit,Traditional Vehicle
Can passenger's AC temperature be set to highest,Traditional Vehicle
Can passenger's AC temperature be set to lowest,Traditional Vehicle
Can rear AC temperature be set to highest,Traditional Vehicle
Can front air volume be increased a bit,Traditional Vehicle
Can rear air volume be set to second gear,Traditional Vehicle
Can AC face blow be enabled,Traditional Vehicle
Can rear defog be enabled,Traditional Vehicle
Can AC face and foot blow be enabled,Traditional Vehicle
Can AC foot and window blow be enabled,Traditional Vehicle
Can AC butler mode be enabled,Traditional Vehicle
Can steering wheel heating be closed,Traditional Vehicle
Do not switch steering wheel heating to high gear,Traditional Vehicle
Driver's seat massage on,Traditional Vehicle
Passenger seat ventilation on,Traditional Vehicle
Play a classic old song to relax,Traditional Vehicle
Passenger leg rest too short,Traditional Vehicle
Passenger backrest too hard,Traditional Vehicle
Driver's seat heating warms up too slow,Traditional Vehicle
Driver's leg rest too hard,Traditional Vehicle
AC face blow too cool,Traditional Vehicle
Driver's backrest too narrow,Traditional Vehicle
AC compressor not working at all,Traditional Vehicle
AC compressor switch not responsive,Traditional Vehicle
Dual zone AC open no response,Traditional Vehicle
Dual zone AC close no response,Traditional Vehicle
Three zone AC on no air,Traditional Vehicle
Four zone AC on no response,Traditional Vehicle
Sync mode not syncing at all,Traditional Vehicle
Driver's AC temperature can't be increased,Traditional Vehicle
Driver's AC temperature at max but still not hot,Traditional Vehicle
Driver's temperature at min,Traditional Vehicle
Passenger's temperature can't be increased,Traditional Vehicle
Passenger's temperature too low,Traditional Vehicle
Passenger's temperature at max but not hot,Traditional Vehicle
Passenger's temperature at min,Traditional Vehicle
Rear AC temperature at max but still not enough,Traditional Vehicle
Front air volume too small,Traditional Vehicle
Rear air volume only second gear,Traditional Vehicle
AC face mode no response,Traditional Vehicle
Rear windshield defog slow,Traditional Vehicle
AC face and foot mode no air,Traditional Vehicle
AC foot and window blow no effect,Traditional Vehicle
Butler mode on but no change,Traditional Vehicle
Steering wheel heating can't be turned off,Traditional Vehicle
Steering wheel heating high gear too hot,Traditional Vehicle
Driver's seat auto heating no response,Traditional Vehicle
Driver's seat heating on but slow,Traditional Vehicle
Driver's seat heating high gear not hot enough,Traditional Vehicle
Driver's seat heating low gear a bit cool,Traditional Vehicle
Driver's seat heating decreased but still hot,Traditional Vehicle
Passenger's seat heating on but not hot,Traditional Vehicle
Passenger's seat heating high gear temperature not enough,Traditional Vehicle
Passenger's seat heating increased but slow,Traditional Vehicle
Rear right seat heating can't be turned off,Traditional Vehicle
Rear right seat heating medium gear no change,Traditional Vehicle
AC compressor auto mode not started,Traditional Vehicle
AC compressor auto close not responsive,Traditional Vehicle
AC inner circulation on no feeling,Traditional Vehicle
AC outer circulation on no air,Traditional Vehicle
Outer circulation off but still air,Traditional Vehicle
Auto AC on no effect,Traditional Vehicle
Auto AC off but still working,Traditional Vehicle
Energy saving mode on not saving energy,Traditional Vehicle
Energy saving mode off no change,Traditional Vehicle
Max cooling on but not cool enough,Traditional Vehicle
Max heating on not hot enough,Traditional Vehicle
Temperature at 25 degrees uncomfortable,Traditional Vehicle
Temperature decreased two degrees but still hot,Traditional Vehicle
Air volume at max but still small,Traditional Vehicle
Air volume at min too strong,Traditional Vehicle
Air direction to front windshield inaccurate,Traditional Vehicle
Air direction auto adjust slow,Traditional Vehicle
Defrost mode on no response,Traditional Vehicle
Defrost mode off but still working,Traditional Vehicle
Rear AC on no air,Traditional Vehicle
Rear AC off no change,Traditional Vehicle
Rear AC auto mode no effect,Traditional Vehicle
Driver's air volume can't be increased,Traditional Vehicle
Driver's air volume can't be decreased,Traditional Vehicle
Passenger's air volume can't be increased,Traditional Vehicle
Passenger's air volume can't be decreased,Traditional Vehicle
Passenger's air volume at max not enough,Traditional Vehicle
Passenger's air volume at min too big,Traditional Vehicle
Rear left air volume only third gear,Traditional Vehicle
Rear right air volume only first gear,Traditional Vehicle
Sync mode off but still syncing,Traditional Vehicle
Three zone AC off no response,Traditional Vehicle
Four zone AC off no change,Traditional Vehicle
Foot blow on no feeling,Traditional Vehicle
Foot blow off no change,Traditional Vehicle
Face and foot blow off but still blowing,Traditional Vehicle
Foot and window blow off but still blowing,Traditional Vehicle
Butler mode off no effect,Traditional Vehicle
Steering wheel heating on but not hot,Traditional Vehicle
Steering wheel heating medium gear not hot enough,Traditional Vehicle
Steering wheel heating increased no response,Traditional Vehicle
Driver's seat heating off but still hot,Traditional Vehicle
Driver's seat heating medium gear not warm enough,Traditional Vehicle
Driver's seat heating increased too slow,Traditional Vehicle
Passenger's auto heating on no change,Traditional Vehicle
Passenger's auto heating off no effect,Traditional Vehicle
Passenger's seat heating decreased but still hot,Traditional Vehicle
Rear left seat heating on but not hot,Traditional Vehicle
Rear left seat heating off but still hot,Traditional Vehicle
Rear left seat heating high gear no feeling,Traditional Vehicle
Rear right seat heating decreased no change,Traditional Vehicle
Rear right seat heating on not hot enough,Traditional Vehicle
All rear seat heating on but uneven,Traditional Vehicle
All rear seat heating off but still hot,Traditional Vehicle
Rear seat ventilation on air small,Traditional Vehicle
Driver's seat ventilation on but not cool,Traditional Vehicle
Driver's seat ventilation low gear air too small,Traditional Vehicle
Passenger's seat ventilation off but still blowing,Traditional Vehicle
Passenger's seat ventilation high gear not cool enough,Traditional Vehicle
Steering wheel ventilation on not obvious,Traditional Vehicle
Auto defog on no response,Traditional Vehicle
Auto defog off no change,Traditional Vehicle
Air purification on no feeling,Traditional Vehicle
Air purification off but still on,Traditional Vehicle
PM2.5 filter on no response,Traditional Vehicle
PM2.5 filter off no change,Traditional Vehicle
AC fragrance on no smell,Traditional Vehicle
AC fragrance off but smell remains,Traditional Vehicle
Fragrance set to second gear no change,Traditional Vehicle
Fragrance increased but not obvious,Traditional Vehicle
Driver's AC independent control not working well,Traditional Vehicle
Passenger's AC independent control no response,Traditional Vehicle
Rear AC independent control slow,Traditional Vehicle
Driver's temperature manual adjust inaccurate,Traditional Vehicle
Passenger's temperature manual adjust inaccurate,Traditional Vehicle
Rear temperature manual adjust too slow,Traditional Vehicle
Rear air volume manual adjust not responsive,Traditional Vehicle
Front air volume auto adjust slow,Traditional Vehicle
Driver's air volume set to third gear no effect,Traditional Vehicle
Passenger's air volume set to fourth gear no air,Traditional Vehicle
Rear air volume set to fifth gear not obvious,Traditional Vehicle
Steering wheel heating gear switch slow,Traditional Vehicle
Steering wheel heating auto enable slow,Traditional Vehicle
Steering wheel heating auto close slow,Traditional Vehicle
Steering wheel heating switch to medium gear no response,Traditional Vehicle
Steering wheel heating highest gear not hot,Traditional Vehicle
Steering wheel heating lowest gear too hot,Traditional Vehicle
Driver's seat heating auto on slow,Traditional Vehicle
Driver's seat heating auto off slow,Traditional Vehicle
Driver's seat heating gear adjust slow,Traditional Vehicle
Driver's seat heating medium gear not obvious,Traditional Vehicle
Driver's seat heating high gear temperature not enough,Traditional Vehicle
Passenger's seat heating low gear too cool,Traditional Vehicle
Passenger's seat heating auto enable slow,Traditional Vehicle
Passenger's seat heating auto close slow,Traditional Vehicle
Passenger's seat heating gear adjust slow,Traditional Vehicle
Rear seat heating gear adjust slow,Traditional Vehicle
Rear seat heating medium gear not obvious,Traditional Vehicle
Rear seat heating high gear temperature not enough,Traditional Vehicle
Rear seat heating low gear too cool,Traditional Vehicle
Rear right seat heating auto on slow,Traditional Vehicle
Rear left seat heating auto off slow,Traditional Vehicle
Driver's seat ventilation on no air,Traditional Vehicle
Passenger's seat ventilation on slow,Traditional Vehicle
Driver's seat ventilation off but still blowing,Traditional Vehicle
Passenger's seat ventilation off slow,Traditional Vehicle
Driver's seat ventilation high gear air small,Traditional Vehicle
Passenger's seat ventilation medium gear air small,Traditional Vehicle
Rear seat ventilation on not obvious,Traditional Vehicle
Rear seat ventilation off but still blowing,Traditional Vehicle
Rear seat ventilation low gear air small,Traditional Vehicle
Rear seat ventilation high gear air small,Traditional Vehicle
AC fragrance auto on slow,Traditional Vehicle
AC fragrance auto off slow,Traditional Vehicle
AC fragrance increased one gear not obvious,Traditional Vehicle
AC fragrance decreased one gear air small,Traditional Vehicle
AC fragrance close all channels no change,Traditional Vehicle
PM2.5 filter on air small,Traditional Vehicle
PM2.5 filter off but still air,Traditional Vehicle
Driver's AC temperature increased a bit no feeling,Traditional Vehicle
Driver's AC temperature highest but not hot enough,Traditional Vehicle
Driver's AC temperature lowest but still hot,Traditional Vehicle
Passenger's AC temperature increased a bit no response,Traditional Vehicle
Passenger's AC temperature decreased a bit too cool,Traditional Vehicle
Passenger's AC temperature highest not hot enough,Traditional Vehicle
Passenger's AC temperature lowest too cool,Traditional Vehicle
Rear AC temperature highest but not hot enough,Traditional Vehicle
Front air volume increased a bit air small,Traditional Vehicle
Rear air volume second gear air small,Traditional Vehicle
AC face mode on no feeling,Traditional Vehicle
Rear windshield defog on slow,Traditional Vehicle
AC face and foot mode on no air,Traditional Vehicle
AC foot and window mode on no air,Traditional Vehicle
Butler mode on no feeling,Traditional Vehicle
Steering wheel heating can't be turned off,Traditional Vehicle
Do not switch steering wheel heating to high gear,Traditional Vehicle
Passenger's seat massage on no feeling,Traditional Vehicle
Driver's seat leg rest too short,Traditional Vehicle
Driver's seat back too hard,Traditional Vehicle
Passenger's seat back too narrow,Traditional Vehicle
AC foot blow not enough,Traditional Vehicle
AC auto mode no effect,Traditional Vehicle
AC energy saving mode on no change,Traditional Vehicle
AC max heating not enough,Traditional Vehicle
AC max cooling not enough,Traditional Vehicle
PM2.5 filter on no effect,Traditional Vehicle
AC fragrance on no effect,Traditional Vehicle
Steering wheel ventilation on no air,Traditional Vehicle
Driver's seat heating gear adjust slow,Traditional Vehicle
Passenger's seat heating gear adjust slow,Traditional Vehicle
Rear seat heating gear adjust slow,Traditional Vehicle
Driver's seat ventilation gear adjust slow,Traditional Vehicle
Passenger's seat ventilation gear adjust slow,Traditional Vehicle
Rear seat ventilation gear adjust slow,Traditional Vehicle
AC temperature adjust slow,Traditional Vehicle
AC air volume adjust slow,Traditional Vehicle
AC air direction adjust slow,Traditional Vehicle
AC defrost switch slow,Traditional Vehicle
AC air purification adjust slow,Traditional Vehicle
AC fragrance gear adjust slow,Traditional Vehicle
Driver's seat massage intensity adjust slow,Traditional Vehicle
Passenger's seat massage intensity adjust slow,Traditional Vehicle
Rear seat massage intensity adjust slow,Traditional Vehicle
Interior temperature sensing slow,Traditional Vehicle
Interior air sensing slow,Traditional Vehicle
Interior humidity sensing slow,Traditional Vehicle
AC butler mode response slow,Traditional Vehicle
AC auto mode response slow,Traditional Vehicle
AC energy saving mode response slow,Traditional Vehicle
AC max heating response slow,Traditional Vehicle
AC max cooling response slow,Traditional Vehicle
Rear AC temperature adjust slow,Traditional Vehicle
Front air volume adjust slow,Traditional Vehicle
Rear air volume adjust slow,Traditional Vehicle
Steering wheel heating response slow,Traditional Vehicle
Steering wheel ventilation response slow,Traditional Vehicle
Driver's seat heating response slow,Traditional Vehicle
Passenger's seat heating response slow,Traditional Vehicle
Rear seat heating response slow,Traditional Vehicle
Driver's seat ventilation response slow,Traditional Vehicle
Passenger's seat ventilation response slow,Traditional Vehicle
Rear seat ventilation response slow,Traditional Vehicle
PM2.5 filter response slow,Traditional Vehicle
AC fragrance response slow,Traditional Vehicle
AC auto defrost response slow,Traditional Vehicle
AC air purification response slow,Traditional Vehicle
AC temperature change slow,Traditional Vehicle
AC air volume change slow,Traditional Vehicle
AC air direction change slow,Traditional Vehicle
Interior temperature change slow,Traditional Vehicle
Interior air sense change slow,Traditional Vehicle
Interior humidity change slow,Traditional Vehicle
Driver's seat massage adjust slow,Traditional Vehicle
Passenger's seat massage adjust slow,Traditional Vehicle
Rear seat massage adjust slow,Traditional Vehicle
Driver's seat massage intensity not enough,Traditional Vehicle
Passenger's seat massage intensity not enough,Traditional Vehicle
Rear seat massage intensity not enough,Traditional Vehicle
Interior temperature feeling not obvious,Traditional Vehicle
Interior air feeling not obvious,Traditional Vehicle
Interior humidity feeling not obvious,Traditional Vehicle
AC butler mode reaction slow,Traditional Vehicle
AC auto mode reaction slow,Traditional Vehicle
AC energy saving mode reaction slow,Traditional Vehicle
AC max heating reaction slow,Traditional Vehicle
AC max cooling reaction slow,Traditional Vehicle
Rear AC temperature reaction slow,Traditional Vehicle
Front air volume reaction slow,Traditional Vehicle
Rear air volume reaction slow,Traditional Vehicle
Steering wheel heating reaction slow,Traditional Vehicle
Steering wheel ventilation reaction slow,Traditional Vehicle
Driver's seat heating reaction slow,Traditional Vehicle
Passenger's seat heating reaction slow,Traditional Vehicle
Rear seat heating reaction slow,Traditional Vehicle
Driver's seat ventilation reaction slow,Traditional Vehicle
Passenger's seat ventilation reaction slow,Traditional Vehicle
Rear seat ventilation reaction slow,Traditional Vehicle
PM2.5 filter reaction slow,Traditional Vehicle
AC fragrance reaction slow,Traditional Vehicle
AC auto defrost reaction slow,Traditional Vehicle
AC air purification reaction slow,Traditional Vehicle
AC temperature adjustment inaccurate,Traditional Vehicle
AC air volume adjustment inaccurate,Traditional Vehicle
AC air direction adjustment inaccurate,Traditional Vehicle
Interior temperature adjustment inaccurate,Traditional Vehicle
Interior air sense adjustment inaccurate,Traditional Vehicle
Interior humidity adjustment inaccurate,Traditional Vehicle
Driver's seat massage adjustment inaccurate,Traditional Vehicle
Passenger's seat massage adjustment inaccurate,Traditional Vehicle
Rear seat massage adjustment inaccurate,Traditional Vehicle
Driver's seat massage intensity uneven,Traditional Vehicle
Passenger's seat massage intensity uneven,Traditional Vehicle
Rear seat massage intensity uneven,Traditional Vehicle
